customer_id,name,member_type
C081,สมชาย ใ***,VIP
C082,ธนกฤต ส***,General
C083,กมล เ***,General
C084,ชลธิชา ว***,Student
C085,ศิริพร ว***,VIP
C086,วิภา ว***,VIP
C087,ธนกฤต ส***,General
C088,สมชาย ว***,Student
C089,นภา ม***,Student
C090,ศิริพร ส***,General
C091,กมล ส***,General
C092,อนันต์ ว***,Student
C093,สมชาย เ***,General
C094,อนันต์ ส***,Student
C095,อนันต์ ส***,Student
C096,นภา ส***,VIP
C097,กมล ร***,General
C098,ศิริพร ใ***,VIP
C099,กิตติ ร***,VIP
C100,สมชาย ใ***,General
C101,ศิริพร เ***,Student
C102,สมชาย ใ***,Student
C103,ณัฐพงษ์ ม***,Student
C104,อนันต์ ส***,Student
C105,วิภา เ***,Student
C106,อนันต์ ร***,General
C107,สมชาย ส***,VIP
C108,สมชาย ส***,Student
C109,ชลธิชา ว***,VIP
C110,นภา ร***,Student
C111,ศิริพร ม***,General
C112,วิภา ร***,Student
C113,ศิริพร ว***,VIP
C114,นภา ใ***,General
C115,ณัฐพงษ์ ว***,Student
C116,ณัฐพงษ์ ใ***,Student
C117,กมล ใ***,General
C118,วิภา เ***,VIP
C119,สมชาย ม***,General
C120,กมล ใ***,Student
C121,วิภา ร***,VIP
C122,ศิริพร ใ***,Student
C123,กมล ม***,VIP
C124,ชลธิชา ม***,VIP
C125,วิภา ใ***,VIP
C126,ณัฐพงษ์ ส***,Student
C127,สมชาย ใ***,General
C128,วิภา เ***,General
C129,ณัฐพงษ์ ร***,General
C130,กมล ร***,VIP
C131,นภา ใ***,VIP
C132,นภา ใ***,General
C133,ณัฐพงษ์ ว***,VIP
C134,วิภา ส***,VIP
C135,สมชาย ม***,Student
C136,กมล ใ***,Student
C137,วิภา ม***,Student
C138,กิตติ ใ***,Student
C139,นภา ว***,VIP
C140,กมล ใ***,Student
C141,ณัฐพงษ์ ม***,General
C142,ธนกฤต ส***,VIP
C143,กิตติ ม***,VIP
C144,ธนกฤต ใ***,VIP
C145,ธนกฤต เ***,Student
C146,นภา เ***,General
C147,กิตติ ว***,VIP
C148,นภา เ***,General
C149,นภา ร***,Student
C150,ธนกฤต ส***,General
C151,อนันต์ ส***,VIP
C152,อนันต์ ม***,Student
C153,ณัฐพงษ์ ม***,General
C154,วิภา เ***,Student
C155,สมชาย ร***,VIP
C156,สมชาย เ***,VIP
C157,กมล ส***,General
C158,นภา ม***,General
C159,วิภา ร***,General
C160,กิตติ ใ***,VIP
C161,ศิริพร ใ***,Student
C162,อนันต์ ว***,Student
C163,สมชาย ส***,General
C164,ณัฐพงษ์ ม***,General
C165,กมล ส***,VIP
C166,ชลธิชา ใ***,VIP
C167,วิภา ส***,General
C168,ศิริพร ใ***,General
C169,กิตติ ม***,Student
C170,ชลธิชา ส***,Student
C171,นภา ร***,VIP
C172,กมล ม***,General
C173,ณัฐพงษ์ ส***,General
C174,นภา ส***,General
C175,สมชาย ส***,VIP
C176,วิภา ม***,VIP
C177,สมชาย ส***,VIP
C178,กิตติ ส***,General
C179,ธนกฤต ม***,VIP
C180,วิภา ใ***,VIP
C181,ชลธิชา ร***,General
C182,อนันต์ ส***,VIP
C183,นภา ส***,VIP
C184,ชลธิชา เ***,VIP
C185,ชลธิชา ใ***,Student
C186,สมชาย ม***,VIP
C187,อนันต์ ม***,Student
C188,สมชาย ว***,VIP
C189,วิภา ม***,General
C190,ศิริพร ม***,Student
C191,สมชาย ส***,Student
C192,กิตติ ใ***,Student
C193,ธนกฤต ว***,VIP
C194,สมชาย เ***,General
C195,กมล ใ***,Student
C196,สมชาย ส***,General
C197,กิตติ ส***,Student
C198,วิภา ม***,Student
C199,กิตติ ส***,VIP
C200,นภา ม***,General
C201,ศิริพร ส***,VIP
C202,สมชาย ม***,VIP
C203,กมล ม***,General
C204,วิภา ม***,Student
C205,กมล ใ***,Student
C206,กมล ใ***,General
C207,สมชาย ว***,General
C208,ชลธิชา ม***,Student
C209,ธนกฤต ม***,Student
C210,ณัฐพงษ์ ม***,Student
C211,ชลธิชา เ***,Student
C212,ณัฐพงษ์ ใ***,Student
C213,ศิริพร ร***,Student
C214,วิภา ส***,Student
C215,ณัฐพงษ์ ส***,General
C216,อนันต์ ใ***,Student
C217,ศิริพร เ***,VIP
C218,กมล ใ***,Student
C219,นภา ม***,General
C220,ณัฐพงษ์ ใ***,General
C221,กมล เ***,Student
C222,ชลธิชา ส***,VIP
C223,อนันต์ ว***,Student
C224,กมล เ***,VIP
C225,กมล ร***,General
C226,ศิริพร ม***,General
C227,นภา ใ***,General
C228,กมล ว***,General
C229,วิภา ร***,Student
C230,สมชาย ส***,General
C231,ณัฐพงษ์ ม***,Student
C232,ณัฐพงษ์ ส***,VIP
C233,อนันต์ ม***,VIP
C234,ศิริพร เ***,Student
C235,ณัฐพงษ์ ใ***,General
C236,สมชาย ม***,VIP
C237,กมล เ***,VIP
C238,วิภา ว***,Student
C239,อนันต์ ม***,VIP
C240,ชลธิชา ส***,Student
C241,นภา ม***,VIP
C242,กิตติ ว***,VIP
C243,อนันต์ ว***,General
C244,ธนกฤต เ***,VIP
C245,กิตติ ใ***,General
C246,อนันต์ ม***,Student
C247,วิภา ร***,General
C248,ศิริพร ว***,Student
C249,ศิริพร ส***,General
C250,กมล ใ***,VIP
C251,ชลธิชา ม***,VIP
C252,วิภา ส***,Student
C253,ศิริพร ส***,Student
C254,ณัฐพงษ์ ร***,VIP
C255,นภา ใ***,General
C256,สมชาย ม***,VIP
C257,อนันต์ ส***,VIP
C258,สมชาย เ***,General
C259,วิภา ส***,VIP
C260,ศิริพร ว***,VIP
C261,ธนกฤต ส***,Student
C262,วิภา เ***,VIP
C263,ศิริพร เ***,VIP
C264,สมชาย ร***,General
C265,อนันต์ ส***,VIP
C266,สมชาย ส***,Student
C267,กิตติ ม***,VIP
C268,ศิริพร ม***,General
C269,ชลธิชา ส***,Student
C270,ธนกฤต ร***,General
C271,อนันต์ ส***,VIP
C272,กมล ม***,General
C273,ชลธิชา ร***,General
C274,กมล ร***,VIP
C275,กมล ว***,VIP
C276,ชลธิชา ส***,Student
C277,อนันต์ ม***,Student
C278,กมล ส***,Student
C279,ณัฐพงษ์ ส***,Student
C280,อนันต์ ส***,VIP
C281,ธนกฤต ม***,VIP
C282,ธนกฤต ม***,VIP
C283,กิตติ ใ***,VIP
C284,นภา ว***,VIP
C285,วิภา ส***,VIP
C286,กมล ม***,General
C287,นภา ร***,General
C288,อนันต์ ว***,VIP
C289,ธนกฤต ส***,Student
C290,นภา ส***,VIP
C291,กิตติ ม***,VIP
C292,อนันต์ ใ***,General
C293,นภา ม***,General
C294,ศิริพร ส***,General
C295,ชลธิชา ส***,Student
C296,ธนกฤต ส***,Student
C297,สมชาย เ***,Student
C298,อนันต์ ส***,Student
C299,กมล ร***,Student
C300,ณัฐพงษ์ ม***,Student
