booking_id,customer_id,customer_name,member_type,movie_name,theater_no,seat_number,seat_type,price,status
BK131,C131,นภา ใ***,VIP,Spider-Man,2,D1,Honeymoon,182.0,Paid
BK132,C132,นภา ใ***,General,Spider-Man,2,F4,VIP,370.0,Paid
BK133,C133,ณัฐพงษ์ ว***,VIP,Avatar 3,1,E9,Normal,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK134,C134,วิภา ส***,VIP,Avatar 3,1,E7,Normal,112.0,Paid
BK135,C135,สมชาย ม***,Student,Inception,4,E2,Honeymoon,200.0,Paid
BK136,C136,กมล ใ***,Student,Inception,4,F6,Normal,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK137,C137,วิภา ม***,Student,Avatar 3,1,C5,Normal,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK138,C138,กิตติ ใ***,Student,Interstellar,5,F10,Deluxe,184.0,Paid
BK139,C139,นภา ว***,VIP,Inception,4,E6,Normal,0.0,Rejected (ที่นั่ง E6 ถูกจองแล้ว (Double Booking))
BK140,C140,กมล ใ***,Student,Inception,4,E5,Normal,0.0,Rejected (ที่นั่ง E5 ถูกจองแล้ว (Double Booking))
BK141,C141,ณัฐพงษ์ ม***,General,Spider-Man,2,B3,Normal,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK142,C142,ธนกฤต ส***,VIP,Batman,3,E7,Deluxe,168.0,Paid
BK143,C143,กิตติ ม***,VIP,Batman,3,D10,VIP,0.0,Rejected (ที่นั่ง D10 ถูกจองแล้ว (Double Booking))
BK144,C144,ธนกฤต ใ***,VIP,Batman,3,C10,Deluxe,168.0,Paid
BK145,C145,ธนกฤต เ***,Student,Interstellar,5,E7,Normal,152.0,Paid
BK146,C146,นภา เ***,General,Interstellar,5,D7,Honeymoon,270.0,Paid
BK147,C147,กิตติ ว***,VIP,Batman,3,B1,Honeymoon,196.0,Paid
BK148,C148,นภา เ***,General,Spider-Man,2,C8,Honeymoon,0.0,Rejected (ที่นั่ง C8 ถูกจองแล้ว (Double Booking))
BK149,C149,นภา ร***,Student,Interstellar,5,E2,VIP,304.0,Paid
BK150,C150,ธนกฤต ส***,General,Inception,4,F7,Honeymoon,250.0,Paid
BK151,C151,อนันต์ ส***,VIP,Spider-Man,2,D3,Honeymoon,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK152,C152,อนันต์ ม***,Student,Interstellar,5,D3,VIP,0.0,Cancelled
BK153,C153,ณัฐพงษ์ ม***,General,Inception,4,D7,Honeymoon,250.0,Paid
BK154,C154,วิภา เ***,Student,Avatar 3,1,C7,Honeymoon,192.0,Paid
BK155,C155,สมชาย ร***,VIP,Batman,3,C9,Deluxe,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK156,C156,สมชาย เ***,VIP,Batman,3,F1,Normal,140.0,Paid
BK157,C157,กมล ส***,General,Avatar 3,1,E1,Deluxe,0.0,Cancelled
BK158,C158,นภา ม***,General,Avatar 3,1,F10,Normal,0.0,Rejected (ที่นั่ง F10 ถูกจองแล้ว (Double Booking))
BK159,C159,วิภา ร***,General,Batman,3,F6,Normal,200.0,Paid
BK160,C160,กิตติ ใ***,VIP,Avatar 3,1,E6,Honeymoon,168.0,Paid
BK161,C161,ศิริพร ใ***,Student,Inception,4,D6,VIP,288.0,Paid
BK162,C162,อนันต์ ว***,Student,Inception,4,F2,Deluxe,0.0,Rejected (ที่นั่ง F2 ถูกจองแล้ว (Double Booking))
BK163,C163,สมชาย ส***,General,Avatar 3,1,C5,VIP,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK164,C164,ณัฐพงษ์ ม***,General,Inception,4,D10,Normal,0.0,Cancelled
BK165,C165,กมล ส***,VIP,Avatar 3,1,D10,Deluxe,140.0,Paid
BK166,C166,ชลธิชา ใ***,VIP,Avatar 3,1,B6,Honeymoon,0.0,Rejected (ที่นั่ง B6 ถูกจองแล้ว (Double Booking))
BK167,C167,วิภา ส***,General,Inception,4,F6,Deluxe,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK168,C168,ศิริพร ใ***,General,Interstellar,5,C2,Normal,0.0,Rejected (ที่นั่ง C2 ถูกจองแล้ว (Double Booking))
BK169,C169,กิตติ ม***,Student,Inception,4,C4,Normal,136.0,Paid
BK170,C170,ชลธิชา ส***,Student,Batman,3,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK171,C171,นภา ร***,VIP,Interstellar,5,A6,Honeymoon,189.0,Paid
BK172,C172,กมล ม***,General,Spider-Man,2,B2,Deluxe,220.0,Paid
BK173,C173,ณัฐพงษ์ ส***,General,Interstellar,5,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK174,C174,นภา ส***,General,Inception,4,B5,VIP,360.0,Paid
BK175,C175,สมชาย ส***,VIP,Inception,4,B5,Honeymoon,0.0,Rejected (ที่นั่ง B5 ถูกจองแล้ว (Double Booking))
BK176,C176,วิภา ม***,VIP,Interstellar,5,E5,Honeymoon,0.0,Cancelled
BK177,C177,สมชาย ส***,VIP,Interstellar,5,D2,Normal,133.0,Paid
BK178,C178,กิตติ ส***,General,Batman,3,A3,Honeymoon,0.0,Rejected (ที่นั่ง A3 ถูกจองแล้ว (Double Booking))
BK179,C179,ธนกฤต ม***,VIP,Batman,3,D2,Normal,140.0,Paid
BK180,C180,วิภา ใ***,VIP,Spider-Man,2,F8,Honeymoon,0.0,Rejected (ที่นั่ง F8 ถูกจองแล้ว (Double Booking))
BK181,C181,ชลธิชา ร***,General,Avatar 3,1,A4,Honeymoon,240.0,Paid
BK182,C182,อนันต์ ส***,VIP,Batman,3,C10,Deluxe,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK183,C183,นภา ส***,VIP,Inception,4,F9,Normal,119.0,Paid
BK184,C184,ชลธิชา เ***,VIP,Inception,4,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK185,C185,ชลธิชา ใ***,Student,Batman,3,D7,Normal,160.0,Paid
BK186,C186,สมชาย ม***,VIP,Avatar 3,1,E9,Deluxe,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK187,C187,อนันต์ ม***,Student,Spider-Man,2,E2,VIP,296.0,Paid
BK188,C188,สมชาย ว***,VIP,Inception,4,B3,VIP,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK189,C189,วิภา ม***,General,Interstellar,5,F6,VIP,380.0,Paid
BK190,C190,ศิริพร ม***,Student,Interstellar,5,A5,Honeymoon,216.0,Paid
BK191,C191,สมชาย ส***,Student,Batman,3,B10,Deluxe,192.0,Paid
BK192,C192,กิตติ ใ***,Student,Spider-Man,2,Z99,Normal,0.0,Rejected (ที่นั่ง Z99 ไม่มีอยู่ในระบบ (Invalid Seat))
BK193,C193,ธนกฤต ว***,VIP,Batman,3,D2,Normal,0.0,Rejected (ที่นั่ง D2 ถูกจองแล้ว (Double Booking))
BK194,C194,สมชาย เ***,General,Spider-Man,2,F6,Deluxe,220.0,Paid
BK195,C195,กมล ใ***,Student,Inception,4,F1,Deluxe,168.0,Paid
BK196,C196,สมชาย ส***,General,Spider-Man,2,E7,Honeymoon,260.0,Paid
BK197,C197,กิตติ ส***,Student,Interstellar,5,F3,Honeymoon,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK198,C198,วิภา ม***,Student,Interstellar,5,B3,Normal,152.0,Paid
BK199,C199,กิตติ ส***,VIP,Batman,3,E10,Honeymoon,196.0,Paid
BK200,C200,นภา ม***,General,Interstellar,5,E1,VIP,380.0,Paid
BK201,C201,ศิริพร ส***,VIP,Batman,3,B2,Normal,0.0,Rejected (ที่นั่ง B2 ถูกจองแล้ว (Double Booking))
BK202,C202,สมชาย ม***,VIP,Batman,3,D2,Deluxe,0.0,Rejected (ที่นั่ง D2 ถูกจองแล้ว (Double Booking))
BK203,C203,กมล ม***,General,Interstellar,5,E6,VIP,380.0,Paid
BK204,C204,วิภา ม***,Student,Interstellar,5,C10,Honeymoon,216.0,Paid
BK205,C205,กมล ใ***,Student,Inception,4,F7,Normal,0.0,Rejected (ที่นั่ง F7 ถูกจองแล้ว (Double Booking))
BK206,C206,กมล ใ***,General,Spider-Man,2,D7,Deluxe,0.0,Rejected (ที่นั่ง D7 ถูกจองแล้ว (Double Booking))
BK207,C207,สมชาย ว***,General,Spider-Man,2,E8,VIP,370.0,Paid
BK208,C208,ชลธิชา ม***,Student,Batman,3,C9,Honeymoon,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK209,C209,ธนกฤต ม***,Student,Spider-Man,2,B5,Honeymoon,208.0,Paid
BK210,C210,ณัฐพงษ์ ม***,Student,Spider-Man,2,F2,Normal,0.0,Cancelled
BK211,C211,ชลธิชา เ***,Student,Batman,3,E2,Normal,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK212,C212,ณัฐพงษ์ ใ***,Student,Avatar 3,1,F5,Honeymoon,192.0,Paid
BK213,C213,ศิริพร ร***,Student,Spider-Man,2,A9,Normal,144.0,Paid
BK214,C214,วิภา ส***,Student,Spider-Man,2,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK215,C215,ณัฐพงษ์ ส***,General,Inception,4,C3,VIP,360.0,Paid
BK216,C216,อนันต์ ใ***,Student,Batman,3,E10,VIP,0.0,Rejected (ที่นั่ง E10 ถูกจองแล้ว (Double Booking))
BK217,C217,ศิริพร เ***,VIP,Batman,3,F8,Deluxe,0.0,Rejected (ที่นั่ง F8 ถูกจองแล้ว (Double Booking))
BK218,C218,กมล ใ***,Student,Inception,4,E7,Deluxe,0.0,Rejected (ที่นั่ง E7 ถูกจองแล้ว (Double Booking))
BK219,C219,นภา ม***,General,Batman,3,A10,Normal,200.0,Paid
BK220,C220,ณัฐพงษ์ ใ***,General,Spider-Man,2,C7,Deluxe,0.0,Rejected (ที่นั่ง C7 ถูกจองแล้ว (Double Booking))
BK221,C221,กมล เ***,Student,Interstellar,5,D5,Deluxe,184.0,Paid
BK222,C222,ชลธิชา ส***,VIP,Avatar 3,1,A9,Normal,112.0,Paid
BK223,C223,อนันต์ ว***,Student,Interstellar,5,F2,Honeymoon,216.0,Paid
BK224,C224,กมล เ***,VIP,Avatar 3,1,D7,Deluxe,140.0,Paid
BK225,C225,กมล ร***,General,Inception,4,C8,VIP,0.0,Rejected (ที่นั่ง C8 ถูกจองแล้ว (Double Booking))
BK226,C226,ศิริพร ม***,General,Avatar 3,1,B4,Normal,160.0,Paid
BK227,C227,นภา ใ***,General,Batman,3,C2,Honeymoon,0.0,Rejected (ที่นั่ง C2 ถูกจองแล้ว (Double Booking))
BK228,C228,กมล ว***,General,Avatar 3,1,E9,VIP,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK229,C229,วิภา ร***,Student,Inception,4,E2,Normal,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK230,C230,สมชาย ส***,General,Batman,3,A1,Normal,0.0,Rejected (ที่นั่ง A1 ถูกจองแล้ว (Double Booking))
BK231,C231,ณัฐพงษ์ ม***,Student,Avatar 3,1,E3,Normal,0.0,Rejected (ที่นั่ง E3 ถูกจองแล้ว (Double Booking))
BK232,C232,ณัฐพงษ์ ส***,VIP,Inception,4,A5,VIP,0.0,Rejected (ที่นั่ง A5 ถูกจองแล้ว (Double Booking))
BK233,C233,อนันต์ ม***,VIP,Spider-Man,2,A9,Deluxe,0.0,Rejected (ที่นั่ง A9 ถูกจองแล้ว (Double Booking))
BK234,C234,ศิริพร เ***,Student,Avatar 3,1,E3,Normal,0.0,Rejected (ที่นั่ง E3 ถูกจองแล้ว (Double Booking))
BK235,C235,ณัฐพงษ์ ใ***,General,Batman,3,D10,VIP,0.0,Rejected (ที่นั่ง D10 ถูกจองแล้ว (Double Booking))
BK236,C236,สมชาย ม***,VIP,Batman,3,D9,Deluxe,168.0,Paid
BK237,C237,กมล เ***,VIP,Interstellar,5,F1,Honeymoon,189.0,Paid
BK238,C238,วิภา ว***,Student,Interstellar,5,E4,Deluxe,184.0,Paid
BK239,C239,อนันต์ ม***,VIP,Interstellar,5,E10,Deluxe,0.0,Rejected (ที่นั่ง E10 ถูกจองแล้ว (Double Booking))
BK240,C240,ชลธิชา ส***,Student,Batman,3,B10,Honeymoon,0.0,Rejected (ที่นั่ง B10 ถูกจองแล้ว (Double Booking))
BK241,C241,นภา ม***,VIP,Batman,3,A9,Deluxe,0.0,Cancelled
BK242,C242,กิตติ ว***,VIP,Spider-Man,2,F4,VIP,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK243,C243,อนันต์ ว***,General,Inception,4,C4,Normal,0.0,Rejected (ที่นั่ง C4 ถูกจองแล้ว (Double Booking))
BK244,C244,ธนกฤต เ***,VIP,Avatar 3,1,F9,Deluxe,0.0,Rejected (ที่นั่ง F9 ถูกจองแล้ว (Double Booking))
BK245,C245,กิตติ ใ***,General,Spider-Man,2,E9,Normal,180.0,Paid
BK246,C246,อนันต์ ม***,Student,Batman,3,C5,Normal,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK247,C247,วิภา ร***,General,Avatar 3,1,C7,Deluxe,0.0,Rejected (ที่นั่ง C7 ถูกจองแล้ว (Double Booking))
BK248,C248,ศิริพร ว***,Student,Inception,4,D5,Normal,136.0,Paid
BK249,C249,ศิริพร ส***,General,Batman,3,C9,Normal,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK250,C250,กมล ใ***,VIP,Avatar 3,1,E5,VIP,245.0,Paid
BK251,C251,ชลธิชา ม***,VIP,Spider-Man,2,A3,Deluxe,154.0,Paid
BK252,C252,วิภา ส***,Student,Batman,3,C4,Honeymoon,224.0,Paid
BK253,C253,ศิริพร ส***,Student,Inception,4,D3,Normal,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK254,C254,ณัฐพงษ์ ร***,VIP,Inception,4,A7,VIP,252.0,Paid
BK255,C255,นภา ใ***,General,Interstellar,5,D9,VIP,380.0,Paid
BK256,C256,สมชาย ม***,VIP,Batman,3,A6,Deluxe,0.0,Rejected (ที่นั่ง A6 ถูกจองแล้ว (Double Booking))
BK257,C257,อนันต์ ส***,VIP,Batman,3,F3,VIP,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK258,C258,สมชาย เ***,General,Avatar 3,1,A4,Normal,0.0,Rejected (ที่นั่ง A4 ถูกจองแล้ว (Double Booking))
BK259,C259,วิภา ส***,VIP,Spider-Man,2,D1,VIP,0.0,Rejected (ที่นั่ง D1 ถูกจองแล้ว (Double Booking))
